BillingCountry,BillingCity,Rounded Total
,,1000.86
Argentina,Buenos Aires,5.37
Australia,Sidney,5.37
Austria,Vienne,6.09
Belgium,Brussels,5.37
Brazil,Brasília,5.37
Brazil,Rio de Janeiro,5.37
Brazil,São José dos Campos,5.66
Brazil,São Paulo,5.37
Canada,Edmonton,5.37
Canada,Halifax,5.37
Canada,Montréal,5.66
Canada,Ottawa,5.37
Canada,Toronto,5.37
Canada,Vancouver,5.52
Canada,Winnipeg,5.37
Canada,Yellowknife,5.37
Chile,Santiago,6.66
Czech Republic,Prague,6.45
Denmark,Copenhagen,5.37
Finland,Helsinki,5.95
France,Bordeaux,5.66
France,Dijon,5.8
France,Lyon,5.37
France,Paris,5.52
Germany,Berlin,5.37
Germany,Frankfurt,6.23
Germany,Stuttgart,5.37
Hungary,Budapest,6.52
India,Bangalore,6.11
India,Delhi,5.52
Ireland,Dublin,6.52
Italy,Rome,5.37
Netherlands,Amsterdam,5.8
Norway,Oslo,5.66
Poland,Warsaw,5.37
Portugal,Lisbon,5.66
Portugal,Porto,5.37
Spain,Madrid,5.37
Sweden,Stockholm,5.52
USA,Boston,5.37
USA,Chicago,6.23
USA,Cupertino,5.52
USA,Fort Worth,6.8
USA,Madison,6.09
USA,Mountain View,5.52
USA,New York,5.37
USA,Orlando,5.66
USA,Redmond,5.66
USA,Reno,5.37
USA,Salt Lake City,6.23
USA,Tucson,5.37
United Kingdom,Edinburgh ,5.37
United Kingdom,London,5.37
